Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
The Lost Child,PlayStation 4,2018.0,Role-Playing,NIS America  ,0.01,0.0,0.01,0.0,0.03,62.0,12.0,5.1,10.0,Kadokawa,T
Uncharted: The Lost Legacy,PlayStation 4,2017.0,Action,Sony Interactive Entertainment  ,0.58,1.38,0.04,0.36,2.37,84.0,104.0,8.0,1999.0,Naughty Dog,T
The Escapists 2,Xbox One,2017.0,Action,Sold Out  ,0.05,0.08,0.0,0.01,0.15,77.0,10.0,6.3,12.0,Mouldy Toof Studios,T
The Escapists 2,PlayStation 4,2017.0,Action,Sold Out  ,0.04,0.16,0.0,0.04,0.24,75.0,30.0,6.8,16.0,Mouldy Toof Studios,T
Agents of Mayhem,Xbox One,2017.0,Action Adventure,Deep Silver  ,0.07,0.03,0.0,0.01,0.11,73.0,18.0,6.3,60.0,Volition Inc.,M
Agents of Mayhem,PlayStation 4,2017.0,Action Adventure,Deep Silver  ,0.08,0.08,0.0,0.03,0.2,62.0,70.0,6.6,151.0,Volition Inc.,M
Troll and I,Switch,2017.0,Action Adventure,Maximum Games  ,0.05,0.04,0.0,0.01,0.1,,,4.8,24.0,Spiral House Ltd.,T
Hitman,PlayStation 4,2017.0,Modern,Square Enix  ,0.24,0.36,0.06,0.11,0.78,84.0,40.0,7.8,401.0,Io Interactive,M
Mega Man Legacy Collection 2,Xbox One,2017.0,Miscellaneous,Capcom  ,0.02,0.0,0.0,0.0,0.02,72.0,4.0,8.6,48.0,"Capcom, Now Production, Bullets",E10+
Mega Man Legacy Collection 2,PlayStation 4,2017.0,Miscellaneous,Capcom  ,0.06,0.0,0.02,0.01,0.1,71.0,39.0,8.5,70.0,"Capcom, Now Production, Bullets",E10+
Sine Mora EX,Xbox One,2017.0,Action,THQ Nordic  ,0.03,0.0,0.0,0.0,0.04,80.0,7.0,8.1,7.0,Digital Reality,M
Sine Mora EX,PlayStation 4,2017.0,Action,THQ Nordic  ,0.03,0.01,0.0,0.01,0.06,81.0,18.0,7.1,20.0,Digital Reality,M
Collar x Malice,PlayStation Vita,2017.0,General,Aksys Games  ,0.01,0.0,0.03,0.01,0.05,74.0,7.0,7.5,14.0,Otomate,M
Unbox: Newbie's Adventure,PlayStation 4,2017.0,Action,Merge Games  ,0.03,0.0,0.0,0.01,0.04,63.0,8.0,,,Merge Games,E
Fortnite,PC,2017.0,Action,Epic Games  ,0.0,0.02,0.0,0.0,0.02,81.0,11.0,3.1,1387.0,Epic Games,T
Fortnite,Xbox One,2017.0,Action,Gearbox Software  ,0.6,0.09,0.0,0.08,0.77,85.0,5.0,3.7,326.0,Epic Games,T
